Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2009,NA,111,Idiosyncratic volatility,Conditional expected idiosyncratic volatility estimated from a GARCH model,Individual accounting,Journal of Financial Economics,Fu (2009),"Fu, Fangjian, 2009, ``Idiosyncratic risk and the cross-section of expected stock returns"", Journal of Financial Economics 91, 24-37.",http://www.sciencedirect.com/science/article/pii/S0304405X08001694,1_clear,done!,NA,NA
2009,NA,112,Debt capacity,Firm tangibility as in Almeida and Campello (2007),Individual accounting,Journal of Finance,Hahn and Lee (2009),"Hahn, Jaehoon and Hangyong Lee, 2009, ``Financial constraints, debt capacity, and the cross-section of stock returns"", Journal of Finance 64, 891-921.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2009.01452.x/pdf,1_clear,done!,NA,NA
2009,NA,115,Productivity of cash,Net present value of all firm's present and future projects generated per dollar of cash holdings,Individual accounting,Working Paper,Chandrashekar and Rao (2009),"Chandrashekar, Satyajit and Ramesh K.S. Rao, 2009 ``The productivity of corporate cash holdings and the cross-section of expected stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1334162,1_clear,done!,WP,got it from GHZ
2009,NA,116,Advertising,Change in expenditures on advertising,Individual accounting,Working Paper,Chemmanur and Yan (2009),"Chemmanur, Thomas and An Yan, 2009, Advertising, attention, and stock returns, Working Paper, Boston College.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1340605,1_clear,done!,NA,We cite Lou 2014
2009,NA,119,Earnings volatility,Earnings volatility,Individual accounting,Working Paper,Gow and Taylor (2009),"Gow, Ian and Daniel Taylor, 2009, Earnings volatility and the cross-section of returns, Working Paper, Northwestern University.",http://areas.kenan-flagler.unc.edu/Accounting/fallcamp/Document%20Library/GT_2009-09-11.pdf,1_clear,done!,WP,"same as EarningsPredictability, see note on page 24 of WP ""EVOL mirrors... ...Predictability in Francis et al. (2004).""  Francis et al. do not show return predictability, but for simplicity we'll keep this as a maybe."
2009,NA,123,Efficiency score,Firm efficiency/inefficiency estimated from firm characteristics based on a stochastic frontier approach,Individual financial,Journal of Financial and Quantitative Analysis,Nguyen and Swanson (2009),"Nguyen, Giao and Peggy Swanson, 2009, Firm characteristics, relative efficiency and equity returns, Journal of Financial and Quantitative Analysis 44, 213-236.",http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=5468968,1_clear,done!,NA,NA
2010,NA,127,Real estate holdings,"Real estate to total property, plant and equipment",Individual accounting,Review of Financial Studies,Tuzel (2010),"Tuzel, Selale, 2010, ``Corporate real estate holdings and the cross-section of stock returns"", Review of Financial Studies 23, 2269-2302.",http://rfs.oxfordjournals.org/content/23/6/2268.full.pdf+html,1_clear,done!,NA,NA
2010,NA,134,Related industry returns,Stock returns from economically related supplier and customer industries,Individual financial,Journal of Finance,Menzly and Ozbas (2010),"Menzly, Lior and Oguzhan Ozbas, 2010, Market segmentation and cross-predictability of returns, Journal of Finance 65, 1555-1580.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2010.01578.x/full,1_clear,done!,NA,NA
2010,NA,139,Volatility smirk,Steepness in individual option volatility smirk,Individual financial,Journal of Financial and Quantitative Analysis,"Xing, Zhang and Zhao (2010)","Xing, Yuhang, Xiaoyan Zhang and Rui Zhao, 2010, What does the individual option volatility smirk tell us about future equity returns? Journal of Financial & Quantitative Analysis 45, 641-662.",http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=7858228,1_clear,done!,NA,NA
2011,NA,140,R&D investment,Firm's investment in research and development,Individual accounting,Review of Financial Studies,Li (2011),"Li, Dongmei, 2011, ``Financial constraints, R&D investment, and stock returns"", Review of Financial Studies 24, 2975-3007.",http://rfs.oxfordjournals.org/content/24/9/2974.full.pdf+html,1_clear,done!,NA,NA
2011,NA,141,Extreme stock returns,Portfolios sorted based on extreme past returns,Individual financial,Journal of Financial Economics,"Bali, Cakici and Whitelaw (2011)","Bali, Turan G., Nusret Cakici and Robert F. Whitelaw, 2011, ``Maxing out: Stocks as lotteries and the cross-section of expected returns"", Journal of Financial Economics 99, 427-446.",http://www.sciencedirect.com/science/article/pii/S0304405X1000190X#,1_clear,done!,NA,NA
2011,NA,142,Jumps in individual stock returns,Average jump size proxied by slope of option implied volatility smile,Individual financial,Journal of Financial Economics,Yan (2011),"Yan, Shu, 2011, ``Jump risk, stock returns, and slope of implied volatility smile"", Journal of Financial Economics 99, 216-233.",http://www.sciencedirect.com/science/article/pii/S0304405X1000187X#,1_clear,done!,NA,NA
2011,NA,147,Organizational capital,"Directly measured using Selling, General and Administrative expenditures",Individual accounting,Working Paper,Eisfeldt and Papanikolaou (2011),"Eisfeldt, Andrea L. and Dimitris Papanikolaou, 2011,  ``Organization capital and the cross-section of expected returns"", Working Paper.",http://www.kellogg.northwestern.edu/faculty/papanikolaou/htm/org_cap.pdf,1_clear,done!,NA,NA
2011,NA,151,Non-accounting information quality,Average delay with which non-accounting information is impounded into stock price,Individual financial,Contemporary Accounting Research,"Callen, Khan and Lu (2011)","Callen, Jeffrey, Mozaffar Khan and Hai Lu, 2011, Accounting quality, stock price delay, and future stock returns, Contemporary Accounting Research, 30, 269-295.",http://onlinelibrary.wiley.com/doi/10.1111/j.1911-3846.2011.01154.x/pdf,1_clear,done!,NA,NA
NA,NA,152,Accounting information quality,Average delay with which accounting information is impounded into stock price,Individual accounting,Contemporary Accounting Research,"Callen, Khan and Lu (2011)","Callen, Jeffrey, Mozaffar Khan and Hai Lu, 2011, Accounting quality, stock price delay, and future stock returns, Contemporary Accounting Research, 30, 269-295.",http://onlinelibrary.wiley.com/doi/10.1111/j.1911-3846.2011.01154.x/pdf,1_clear,done!,NA,NA
2011,NA,155,Short interest,Short interest from short sellers,Individual financial,Accounting Review,Michael and Rees (2011),"Drake, Michael and Lynn Rees, 2011, Should investors follow the prophets or the bears? Evidence on the use of public information by analysts and short sellers, Accounting Review 86, 101-130.",http://aaajournals.org/doi/abs/10.2308/accr.00000006,1_clear,done!,NA,NA
2011,NA,156,Percent total accrual,Firm accruals scaled by earnings,Individual accounting,Accounting Review,"Hafzalla, Lundholm and Van Winkle (2007)","Hafzalla, Nader, Russell Lundholm and Matthew Van Winkle, 2011, Percent Accruals, Accounting Review 86, 209-236.",http://www.aaajournals.org/doi/abs/10.2308/accr.00000011,1_clear,done!,NA,NA
2011,NA,158,Really dirty surplus,Really dirty surplus that happens when a firm issues or reacquires its own shares in a transaction that does not record the shares at fair market value,Individual accounting,Accounting Review,"Landsman, Miller, Peasnell and Shu (2011)","Landsman, Wayne, Bruce Miller, Ken Peasnell and Shu Yeh, 2011, Do investors understand really dirty surplus? Accounting Review 86, 237-258.",http://aaajournals.org/doi/abs/10.2308/accr.00000014,1_clear,done!,NA,NA
2011,NA,159,Earnings forecast,Earnings forecast based on firm fundamentals,Individual accounting,Review of Accounting Studies,Li (2011),"Li, Kevin Ke, 2011, How well do investors understand loss persistence? Review of Accounting Studies 16, 630-667.",http://link.springer.com/content/pdf/10.1007%2Fs11142-011-9157-4.pdf,1_clear,done!,NA,NA
2011,NA,163,Tax expense surprises,Seasonally differenced quarterly tax expense,Individual accounting,Journal of Accounting Research,Thomas and Zhang (2011),"Thomas, Jacob and Frank Zhang, 2011, Tax expense momentum, Journal of Accounting Research 49, 791-821.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-679X.2011.00409.x/full,1_clear,done!,NA,NA
2012,NA,171,Option to stock volume ratio,Option volume divided by stock volume,Individual microstructure,Journal of Financial Economics,Johnson and So (2012),"Johnson, Travis L. and Eric C. So, 2012, ``The option to stock volume ratio and future returns"", Journal of Financial Economics 106, 262-286.",http://www.sciencedirect.com/science/article/pii/S0304405X12000797,1_clear,done!,NA,NA
2012,NA,172,Cash holdings,Firm cash holdings,Individual accounting,Journal of Financial Economics,Palazzo (2012),"Berardino, Palazzo, 2012, ``Cash holdings, risk, and expected returns"", Journal of Financial Economics 104, 162-185.",http://www.sciencedirect.com/science/article/pii/S0304405X11002856#,1_clear,done!,NA,NA
2012,NA,178,Firm hiring rate,Firm hiring rate measured by the change in the number of employees over the average number of employees,Individual other,Working Paper,"Bazdresch, Belo and Lin (2012)","Bazdresch, Santiago, Frederico Belo and Xiaoji Lin, 2012, Labor hiring, investment, and stock return predictability in the cross section, Working Paper, University of Minnesota.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1267462&download=yes,1_clear,done!,NA,Now in JPE
2012,NA,179,Information processing complexity,Past return for paired pseudo-conglomerates,Individual financial,Journal of Financial Economics,Cohen and Lou (2012),"Cohen, Lauren and Dong Lou, 2012, Complicated firms, Journal of Financial Economics 104, 383-400.",http://www.sciencedirect.com/science/article/pii/S0304405X11001899,1_clear,done!,NA,NA
2012,NA,182,Innovative efficiency,Patents/citations scaled by research and development expenditures,Individual other,Journal of Financial Economics,"Hirshleifer, Hsu and Li (2012)","Hirshleifer, David, Po-Hsuan Hsu and Dongmei Li, 2012, Innovative efficiency and stock returns, Journal of Financial Economics 107, 632-654.",http://www.sciencedirect.com/science/article/pii/S0304405X12001961,1_clear,done!,NA,NA
2012,NA,185,Deferred revenues,Changes in the current deferred revenue liability,Individual accounting,Contemporary Accounting Research,Prakash and Sinha (2012),"Prakash, Rachna and Nishi Sinha, 2012, Deferred revenues and the matching of revenues and expenses, Contemporary Accounting Research.",http://onlinelibrary.wiley.com/doi/10.1111/j.1911-3846.2012.01164.x/pdf,1_clear,done!,NA,NA
2013,NA,194,Firm's ability to innovate,Rolling firm-by-firm regressions of firm-level sales growth on lagged R&D,Individual accounting,Review of Financial Studies,"Cohen, Diether and Malloy (2013)","Cohen, Lauren, Karl Diether and Christopher Malloy, 2013, Misvaluing innovation, Review of Financial Studies 26, 635-666.",http://rfs.oxfordjournals.org/content/26/3/635.short,1_clear,done!,NA,NA
2013,NA,196,Gross profitability,Gross profits to assets,Individual accounting,Journal of Financial Economics,Novy-Marx (2013),"Novy-Marx, Robert, 2013, The other side of value: The gross profitability premium, Journal of Financial Economics 108, 1-28.",http://www.sciencedirect.com/science/article/pii/S0304405X13000044,1_clear,done!,NA,NA
2013,NA,197,Betting-against-beta,Long leveraged low-beta assets and short high-beta assets,Individual financial,Working Paper,Frazzini and Pedersen (2013),"Frazzini, Andrea and Lasse Heje Pedersen, 2013, Betting against beta, Working Paper, AQR Capital Management.",http://pages.stern.nyu.edu/~lpederse/papers/BettingAgainstBeta.pdf,1_clear,done!,NA,NA
2013,NA,198,Secured debt,Proportion of secured to total debt,Individual accounting,Working Paper,Valta (2013),"Valta, Philip, 2013, Strategic default, debt structure, and stock returns, Working Paper, University of Lausanne.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1101534&download=yes,1_clear,done!,NA,NA
NA,NA,199,Convertible debt,Proportion of convertible to total debt,Individual accounting,Working Paper,Valta (2013),"Valta, Philip, 2013, Strategic default, debt structure, and stock returns, Working Paper, University of Lausanne.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1101534&download=yes,1_clear,done!,NA,NA
NA,NA,200,Convertible debt indicator,Dummy variable indicating whether a firm has convertible debt outstanding,Individual accounting,Working Paper,Valta (2013),"Valta, Philip, 2013, Strategic default, debt structure, and stock returns, Working Paper, University of Lausanne.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1101534&download=yes,1_clear,done!,NA,NA
NA,2,NA,Beta squared,Square of market beta,Common financial,Journal of Political Economy,Fama and MacBeth (1973),"Fama, Eugene F. and James D. MacBeth, 1973, ``Risk, return, and equilibrium: Empirical tests"", Journal of Political Economy 81, 607-636.",http://www.jstor.org/stable/pdfplus/1831028.pdf,1_clear,done!,NA,NA
NA,NA,NA,Book-to-market,Book value of equity plus deferred taxes to market value of equity,Individual accounting,Journal of Financial Economics,Fama and French (2006),"Fama, Eugene F. and Kenneth R. French, 2006, ``Profitability, investment and average returns"", Journal of Financial Economics 82, 491-518.",http://www.sciencedirect.com/science/article/pii/S0304405X06001164#,1_clear,done!,NA,NA
NA,NA,NA,Book-to-market ratio,Book value of equity plus deferred taxes to market value of equity,Individual accounting,Journal of Financial Economics,"Brennan, Chordia and Subrahmanyam (1997)","Brennan, Michael J., Tarun Chordia and Avanidhar Subrahmanyam, 1997, ``Alternative factor specifications, security characteristics, and the cross-section of expected stock returns"", Journal of Financial Economics 49, 345-373.",http://www.sciencedirect.com/science/article/pii/S0304405X98000282#,1_clear,done!,NA,NA
2009,82,NA,Cash flow,Aggregate earnings based on revisions to analyst earnings forecasts,Common accounting,Journal of Financial Economics,Da and Warachka (2009),"Da, Zhi and Mitchell Craig Warachka, 2009, ``Cash flow risk, systematic earnings revisions, and the cross-section of stock returns"", Journal of Financial Economics 94, 448-468.",http://www.sciencedirect.com/science/article/pii/S0304405X0900141X#,1_clear,done!,JFE,NA
NA,89,NA,Cash flow-to-price,Factor-mimicking portfolios based on cash flow-to-price of international equity returns,Common accounting,Review of Financial Studies,"Hou, Karolyi and Kho (2011)","Hou, Kewei, G. Andrew Karolyi and Bong-Chan Kho, 2011, ``What factors drive global stock returns?"", Review of Financial Studies 24, 2528-2574.",http://rfs.oxfordjournals.org/content/24/8/2527.full.pdf+html,1_clear,done!,NA,NA
